,Combine Year,Player,Pos,40yd,115yd
0,2017,John Ross,WR,4.22,10.13
1,2014,Dri Archer,WR,4.26,10.22
2,2020,Henry Ruggs III,WR,4.27,10.25
3,2013,Marquise Goodwin,WR,4.27,10.25
4,2017,Jalen Myrick,CB,4.28,10.27
5,2011,Demarcus Van Dyke,CB,4.28,10.27
6,2015,J.J. Nelson,WR,4.28,10.27
7,2019,Zedrick Woods,S,4.29,10.29
8,2012,Josh Robinson,CB,4.29,10.29
9,2020,Javelin Guidry,CB,4.29,10.29
10,2019,Jamel Dean,CB,4.3,10.32
11,2016,Keith Marshall,RB,4.31,10.34
12,2019,Andy Isabella,WR,4.31,10.34
13,2017,Curtis Samuel,WR,4.31,10.34
14,2019,Parris Campbell,WR,4.31,10.34
15,2012,Travis Benjamin,WR,4.31,10.34
16,2011,Clyde Gates,WR,4.31,10.34
17,2015,Trae Waynes,CB,4.31,10.34
18,2011,Patrick Peterson,CB,4.31,10.34
19,2016,Will Fuller,WR,4.32,10.37
20,2018,Parry Nickerson,CB,4.32,10.37
21,2018,Donte Jackson,CB,4.32,10.37
22,2018,Denzel Ward,CB,4.32,10.37
23,2016,Anthony Brown,CB,4.33,10.39
24,2019,Mecole Hardman,WR,4.33,10.39
25,2014,Brandin Cooks,WR,4.33,10.39
26,2012,Robert Griffin,QB,4.33,10.39
27,2011,Taiwan Jones,RB,4.33,10.39
28,2016,Jonathan Jones,CB,4.33,10.39
29,2019,D.K. Metcalf,WR,4.33,10.39
30,2012,Coty Sensabaugh,CB,4.33,10.39
31,2015,Phillip Dorsett,WR,4.33,10.39
32,2012,Lamar Miller,RB,4.34,10.41
33,2012,T.Y. Hilton,WR,4.34,10.41
34,2018,Troy Apke,S,4.34,10.41
35,2011,Julio Jones,WR,4.34,10.41
36,2012,T.J. Graham,WR,4.34,10.41
37,2014,John Brown,WR,4.34,10.41
38,2013,Ryan Swope,WR,4.34,10.41
39,2018,D.J. Chark,WR,4.34,10.41
40,2011,Ricardo Lockette,WR,4.34,10.41
41,2016,T.J. Green,S,4.34,10.41
42,2013,Onterio McCalebb,RB,4.34,10.41
43,2013,Tavon Austin,WR,4.34,10.41
44,2012,LaMichael James,RB,4.35,10.44
45,2011,Aldrick Robinson,WR,4.35,10.44
46,2019,Terry McLaurin,WR,4.35,10.44
47,2018,Tony Brown,CB,4.35,10.44
48,2015,Chris Conley,WR,4.35,10.44
49,2017,Fabian Moreau,CB,4.35,10.44
50,2012,Chris Givens,WR,4.35,10.44
51,2020,Quez Watkins,WR,4.35,10.44
52,2015,Kevin White,WR,4.35,10.44
53,2012,Chris Rainey,RB,4.36,10.46
54,2012,Devon Wylie,WR,4.36,10.46
55,2012,Kashif Moore,WR,4.36,10.46
56,2011,Chris Culliver,CB,4.36,10.46
57,2012,Chris Owusu,WR,4.36,10.46
58,2015,Justin Cox,CB,4.36,10.46
59,2019,Darnell Savage,S,4.36,10.46
60,2017,Marshon Lattimore,CB,4.36,10.46
61,2012,Stephen Hill,WR,4.36,10.46
62,2013,Darius Slay,CB,4.36,10.46
63,2018,Anthony Averett,CB,4.36,10.46
64,2014,Justin Gilbert,CB,4.37,10.49
65,2013,Dee Milliner,CB,4.37,10.49
66,2012,Tommy Streeter,WR,4.37,10.49
67,2018,Marquez Valdes-Scantling,WR,4.37,10.49
68,2013,Aaron Dobson,WR,4.37,10.49
69,2013,Knile Davis,RB,4.37,10.49
70,2020,L'Jarius Sneed,S,4.37,10.49
71,2016,Brandon Williams,CB,4.37,10.49
72,2017,T.J. Logan,RB,4.37,10.49
73,2011,Derrick Locke,RB,4.37,10.49
74,2011,Mario Fannin,RB,4.37,10.49
75,2011,Buster Skrine,CB,4.37,10.49
76,2019,Mark Fields,CB,4.37,10.49
77,2016,William Jackson III,CB,4.37,10.49
78,2011,DeMarco Murray,RB,4.37,10.49
79,2019,Greedy Williams,CB,4.37,10.49
80,2012,A.J. Jenkins,WR,4.37,10.49
81,2012,Ron Brooks,CB,4.37,10.49
82,2015,D'Joun Smith,CB,4.37,10.49
83,2011,Joseph Morgan,WR,4.38,10.51
84,2017,Shaquill Griffin,CB,4.38,10.51
85,2014,Dezmen Southward,S,4.38,10.51
86,2015,Ronald Darby,CB,4.38,10.51
87,2014,Jason Verrett,CB,4.38,10.51
88,2020,Denzel Mims,WR,4.38,10.51
89,2020,Darnell Mooney,WR,4.38,10.51
90,2013,Josh Boyce,WR,4.38,10.51
91,2012,Stephon Gilmore,CB,4.38,10.51
92,2018,Jaire Alexander,CB,4.38,10.51
93,2011,Chimdi Chekwa,CB,4.38,10.51
94,2012,Jayron Hosley,CB,4.38,10.51
95,2018,Shaquem Griffin,OLB,4.38,10.51
96,2013,Kenny Stills,WR,4.38,10.51
97,2014,Phillip Gaines,CB,4.38,10.51
98,2012,David Wilson,RB,4.38,10.51
99,2013,Desmond Trufant,CB,4.38,10.51
100,2018,Nyheim Hines,RB,4.38,10.51
101,2011,Prince Amukamara,CB,4.38,10.51
102,2014,"Odell Beckham, Jr.",WR,4.38,10.51
103,2020,Jonathan Taylor,RB,4.39,10.53
104,2012,DeVier Posey,WR,4.39,10.53
105,2014,De'Anthony Thomas,RB,4.39,10.53
106,2018,Avonte Maddox,CB,4.39,10.53
107,2019,Darius Slayton,WR,4.39,10.53
108,2013,Jamar Taylor,CB,4.39,10.53
109,2019,Darius West,S,4.39,10.53
110,2020,Isaiah Simmons,LB,4.39,10.53
111,2012,Jarius Wright,WR,4.39,10.53
112,2019,Emanuel Hall,WR,4.39,10.53
113,2012,Isaiah Pead,RB,4.39,10.53
114,2013,Robert Alford,CB,4.39,10.53
115,2016,Kolby Listenbee,WR,4.39,10.53
116,2014,Bradley Roby,CB,4.39,10.53
117,2020,Antonio Gibson,WR,4.39,10.53
118,2016,Kevon Seymour,CB,4.39,10.53
119,2020,Devin Duvernay,WR,4.39,10.53
120,2020,Javaris Davis,CB,4.39,10.53
121,2020,C.J. Henderson,CB,4.39,10.53
122,2012,Michael Floyd,WR,4.4,10.56
123,2011,Dontay Moch,OLB,4.4,10.56
124,2017,Cordrea Tankersley,CB,4.4,10.56
125,2019,Justice Hill,RB,4.4,10.56
126,2011,Brandon Saine,RB,4.4,10.56
127,2011,Roy Helu,RB,4.4,10.56
128,2011,Ras-I Dowling,CB,4.4,10.56
129,2011,Leonard Hankerson,WR,4.4,10.56
130,2012,Cyrus Gray,RB,4.4,10.56
131,2015,Tevin Coleman,RB,4.4,10.56
132,2020,Troy Pride,CB,4.4,10.56
133,2019,Isaiah Johnson,CB,4.4,10.56
134,2015,Donatella Luckett,WR,4.4,10.56
135,2015,Tyler Lockett,WR,4.4,10.56
136,2014,Donte Moncrief,WR,4.4,10.56
137,2011,Da'Rel Scott,RB,4.4,10.56
138,2013,Brandon McGee,CB,4.4,10.56
139,2018,Natrell Jamerson,S,4.4,10.56
140,2017,Josh Malone,WR,4.4,10.56
141,2018,Saquon Barkley,RB,4.4,10.56
142,2014,Paul Richardson,WR,4.4,10.56
143,2013,D.J. Hayden,CB,4.4,10.56
144,2016,Eli Apple,CB,4.4,10.56
145,2018,Justin Reid,S,4.4,10.56
146,2017,Obi Melifonwu,S,4.4,10.56
147,2011,Jordan Todman,RB,4.4,10.56
148,2012,Janoris Jenkins,CB,4.41,10.58
149,2019,Montez Sweat,EDGE,4.41,10.58
150,2018,Robert Foster,WR,4.41,10.58
151,2014,Brandon Dixon,CB,4.41,10.58
152,2014,Jerick McKinnon,RB,4.41,10.58
153,2014,Quincy Enunwa,WR,4.41,10.58
154,2011,Roc Carmichael,CB,4.41,10.58
155,2020,Tanner Muse,S,4.41,10.58
156,2017,Joe Williams,RB,4.41,10.58
157,2018,Dane Cruikshank,S,4.41,10.58
158,2018,Antonio Callaway,WR,4.41,10.58
159,2017,Marlon Humphrey,CB,4.41,10.58
160,2013,Kayvon Webster,CB,4.41,10.58
161,2016,Tyler Ervin,RB,4.41,10.58
162,2016,Jalen Ramsey,CB,4.41,10.58
163,2012,Bruce Irvin,OLB,4.41,10.58
164,2011,DeMarco Sampson,WR,4.41,10.58
165,2020,Darrynton Evans,RB,4.41,10.58
166,2013,Sanders Commings,CB,4.41,10.58
167,2015,Tre McBride,WR,4.41,10.58
168,2011,Torrey Smith,WR,4.41,10.58
169,2017,Josh Jones,S,4.41,10.58
170,2014,Jaylen Watkins,CB,4.41,10.58
171,2017,K.D. Cannon,WR,4.41,10.58
172,2019,Will Harris,S,4.41,10.58
173,2011,Shareece Wright,CB,4.41,10.58
174,2014,Dontae Johnson,CB,4.41,10.58
175,2019,Johnnie Dixon,WR,4.41,10.58
176,2011,Von Miller,OLB,4.42,10.61
